anime_id,title,season_no,episodes,rating,episode_imputed,rating_imputed
1,Naruto,1,220,8.4,False,False
1,Naruto,2,500,8.3,False,False
1,Naruto,3,360,8.2,False,False
2,One Piece,1,61,8.9,False,False
2,One Piece,2,77,8.9,False,False
2,One Piece,3,85,8.8,False,False
2,One Piece,4,77,8.7,False,False
3,Attack on Titan,1,25,9.0,False,False
3,Attack on Titan,2,12,9.1,False,False
3,Attack on Titan,3,22,9.0,False,False
3,Attack on Titan,4,29,9.1,False,False
4,Death Note,1,37,9.0,False,False
5,FMA Brotherhood,1,64,9.1,False,False
6,Dragon Ball Z,1,39,8.8,False,False
6,Dragon Ball Z,2,35,8.7,False,False
6,Dragon Ball Z,3,34,8.6,False,False
6,Dragon Ball Z,4,32,8.8,False,False
6,Dragon Ball Z,5,26,8.5,False,False
7,Sword Art Online,1,25,7.2,False,False
7,Sword Art Online,2,24,7.0,False,False
7,Sword Art Online,3,24,6.9,False,False
7,Sword Art Online,4,25,7.4,False,False
8,My Hero Academia,1,13,8.2,False,False
8,My Hero Academia,2,25,8.4,False,False
8,My Hero Academia,3,25,8.3,False,False
8,My Hero Academia,4,25,8.5,False,False
8,My Hero Academia,5,25,8.1,False,False
8,My Hero Academia,6,25,8.3,False,False
8,My Hero Academia,7,25,8.3,False,True
9,Demon Slayer,1,26,8.9,False,False
9,Demon Slayer,2,7,9.1,False,False
9,Demon Slayer,3,11,8.9,False,False
9,Demon Slayer,4,11,9.0,False,False
10,Hunter x Hunter,1,148,9.0,False,False
11,Tokyo Ghoul,1,12,7.8,False,False
11,Tokyo Ghoul,2,12,6.5,False,False
11,Tokyo Ghoul,3,12,7.3,False,False
11,Tokyo Ghoul,4,12,7.1,False,False
12,Bleach,1,366,7.9,False,False
12,Bleach,2,366,8.2,False,False
13,One Punch Man,1,12,8.8,False,False
13,One Punch Man,2,12,7.4,False,False
14,Fairy Tail,1,175,8.0,False,False
14,Fairy Tail,2,102,7.9,False,False
14,Fairy Tail,3,138,7.8,False,False
15,Steins;Gate,1,24,9.1,False,False
15,Steins;Gate,2,23,8.2,False,False
16,Code Geass,1,25,8.7,False,False
16,Code Geass,2,25,8.9,False,False
17,Neon Genesis Evangelion,1,26,8.5,False,False
18,Cowboy Bebop,1,26,8.9,False,False
19,Vinland Saga,1,24,8.8,False,False
19,Vinland Saga,2,24,9.0,False,False
20,Jujutsu Kaisen,1,24,8.7,False,False
20,Jujutsu Kaisen,2,23,9.0,False,False
21,Violet Evergarden,1,13,8.5,False,False
21,Violet Evergarden,2,13,8.9,False,False
22,Your Lie in April,1,22,8.7,False,False
23,Haikyuu!!,1,25,8.7,False,False
